Rank,Coach,School,Total Pay,Conf.,School Pay,Maximum Bonus,"Bonuses Paid
(2021-22)","School Buyout
as of 12/1/2022"
1,Nick Saban,Alabama,"$10,957,000*",SEC,"$10,707,000","$1,100,000","$825,000","$43,200,000"
2,Dabo Swinney,Clemson,"$10,539,775*",ACC,"$10,508,575","$1,375,000","$150,000","$64,000,000"
3,Kirby Smart,Georgia,"$10,253,600",SEC,"$10,253,600","$1,525,000","$850,000","$103,104,167"
4,Brian Kelly,LSU,"$9,810,000*",SEC,"$9,810,000","$1,325,000",—,"$78,622,917"
5,Mel Tucker,Michigan State,"$9,561,000",Big Ten,"$9,561,000","$1,550,000","$250,000","$86,687,500"
6,Jimbo Fisher,Texas A&M,"$9,000,000*",SEC,"$9,000,000","$1,500,000","$50,000","$86,700,000"
7,Ryan Day,Ohio State,"$8,783,336*",Big Ten,"$8,708,336","$800,000","$300,000","$52,416,666"
8,James Franklin,Penn State,"$8,500,000*",Big Ten,"$8,500,000","$1,400,000","$200,000","$72,666,667"
9,Jim Harbaugh,Michigan,"$8,114,600*",Big Ten,"$8,054,000","$3,275,000","$2,225,000","$35,410,651"
10,Mario Cristobal,Miami (FL),"$8,000,000",ACC,—,—,—,—
11,Mike Gundy,Oklahoma State,"$7,500,000*",Big 12,"$7,500,000","$900,000","$125,000","$20,494,792"
12,Billy Napier,Florida,"$7,270,000*",SEC,"$7,270,000","$1,600,000",—,"$39,000,833"
13,Lane Kiffin,Ole Miss,"$7,250,000*",SEC,"$7,250,000","$2,600,000","$800,000",—
14,Kirk Ferentz,Iowa,"$7,000,000*",Big Ten,"$7,000,000","$2,500,000","$1,025,000","$43,000,000"
15,Brent Venables,Oklahoma,"$7,000,000*",Big 12,"$7,000,000",—,—,—
16,Mark Stoops,Kentucky,"$6,763,600",SEC,"$6,750,000","$2,750,000","$650,000","$31,078,125"
17,David Shaw,Stanford,"$6,592,230*",Pac-12,"$6,592,230",—,—,—
18,Sam Pittman,Arkansas,"$6,000,000*",SEC,"$6,000,000","$1,450,000","$175,000",—
19,Kyle Whittingham,Utah,"$6,000,000",Pac-12,"$6,000,000","$1,185,000","$805,000","$15,250,000"
20,Pat Narduzzi,Pitt,"$5,644,937",ACC,"$5,644,937",—,—,—
21,Chip Kelly,UCLA,"$5,600,000*",Pac-12,"$5,600,000","$1,085,000","$170,000","$4,223,333"
22,Mike Leach,Mississippi State,"$5,500,000*",SEC,"$5,500,000","$1,400,000","$100,000",—
23,Steve Sarkisian,Texas,"$5,400,000",Big 12,"$5,400,000","$825,000",$0,"$16,835,000"
24,Pat Fitzgerald,Northwestern,"$5,372,318",Big Ten,"$5,372,318",—,$0,—
