Rank,Coach,School,Total Pay,Conf.,School Pay,Maximum Bonus,"Bonuses Paid
(2022-23)","School Buyout
as of 12/1/2023"
1,Nick Saban,Alabama,"$11,407,000*",SEC,"$11,107,000","$1,100,000","$300,000","$44,800,000"
2,Dabo Swinney,Clemson,"$10,884,775*",ACC,"$10,758,575","$1,375,000","$500,000","$64,000,000"
3,Kirby Smart,Georgia,"$10,705,600",SEC,"$10,505,600","$1,525,000","$1,350,000","$92,625,000"
4,Ryan Day,Ohio State,"$10,271,250*",Big Ten,"$10,196,250","$800,000","$250,000","$46,222,292"
5,Mel Tucker,Michigan State,"$10,015,350*",Big Ten,"$10,015,350","$1,550,000",$0,—
6,Lincoln Riley,USC,"$10,000,000",Pac-12,—,—,—,—
7,Brian Kelly,LSU,"$9,975,000*",SEC,"$9,975,000","$1,325,000","$575,000","$70,018,333"
8,Jimbo Fisher,Texas A&M,"$9,150,000",SEC,"$9,150,000","$1,500,000",$0,"$77,562,500"
9,Mark Stoops,Kentucky,"$9,013,600",SEC,"$9,000,000","$3,050,000","$150,000","$51,187,500"
10,Josh Heupel,Tennessee,"$9,000,000",SEC,"$9,000,000","$1,700,000","$400,000","$46,500,000"
11,Lane Kiffin,Ole Miss,"$9,000,000*",SEC,"$9,000,000","$2,600,000","$450,000",—
12,James Franklin,Penn State,"$8,500,000*",Big Ten,"$8,500,000","$1,400,000","$300,000","$64,666,667"
13,Jim Harbaugh,Michigan,"$8,254,600*",Big Ten,"$8,194,000","$3,275,000","$2,200,000","$27,236,892"
14,Mario Cristobal,Miami (FL),"$8,000,000",ACC,—,—,—,—
15,Luke Fickell,Wisconsin,"$7,625,000*",Big Ten,"$7,625,000","$1,450,000",—,"$39,680,000"
16,Mike Gundy,Oklahoma State,"$7,625,000*",Big 12,"$7,625,000","$900,000","$62,500","$24,976,563"
17,Mike Norvell,Florida State,"$7,300,000*",ACC,"$7,300,000","$1,400,000","$225,000","$42,209,583"
18,Billy Napier,Florida,"$7,270,000*",SEC,"$6,920,000","$1,600,000","$200,000","$32,384,716"
19,Brent Venables,Oklahoma,"$7,100,000",Big 12,"$7,100,000","$985,000",$0,"$30,583,333"
20,Kirk Ferentz,Iowa,"$7,000,000*",Big Ten,"$7,000,000","$2,500,000","$200,000","$37,000,000"
21,Dan Lanning,Oregon,"$6,624,999*",Pac-12,"$6,624,999","$1,875,000","$200,000","$44,333,333"
22,Hugh Freeze,Auburn,"$6,500,000*",SEC,"$6,500,000","$3,300,000",—,"$25,187,500"
23,Bret Bielema,Illinois,"$6,500,000",Big Ten,"$6,500,000","$1,600,000","$425,000","$35,750,000"
24,Sam Pittman,Arkansas,"$6,357,500*",SEC,"$6,350,000","$1,450,000","$175,000",—
25,Kyle Whittingham,Utah,"$6,325,000*",Pac-12,"$6,325,000","$1,200,000","$800,000","$12,250,000"
26,Shane Beamer,South Carolina,"$6,125,000",SEC,"$6,125,000","$1,450,000","$100,000","$18,255,521"
27,Eliah Drinkwitz,Missouri,"$6,000,000",SEC,"$6,000,000","$1,275,000","$125,000","$20,437,500"
28,P.J. Fleck,Minnesota,"$6,000,000",Big Ten,"$6,000,000","$1,550,000","$450,000","$23,725,000"
29,Chip Kelly,UCLA,"$5,979,167*",Pac-12,"$5,979,167","$1,247,000","$145,000","$8,787,917"
30,Pat Narduzzi,Pitt,"$5,875,817",ACC,"$5,875,817",—,—,—
