,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Florida State,11,0,1.000,8,0,1.000,40.1,16.9,18.79,1.06,5,8,3,
Louisville,10,1,.909,7,1,.875,33.2,18.4,13.22,1.77,9,,9,
North Carolina State,8,3,.727,5,2,.714,25.7,20.2,6.07,1.79,,,,
Georgia Tech,6,5,.545,5,3,.625,31.9,30.5,3.05,2.41,,,,
North Carolina,8,3,.727,4,3,.571,38.1,26.0,10.08,1.36,,21,10,
Virginia Tech,5,6,.455,4,3,.571,26.2,24.9,3.65,2.29,,,,
Clemson,7,4,.636,4,4,.500,30.4,21.1,10.23,3.96,,9,9,
Boston College,6,5,.545,3,4,.429,25.5,28.1,-2.41,-0.59,,,,
Duke,6,5,.545,3,4,.429,27.5,19.8,9.11,3.75,,,16,
Miami (FL),6,5,.545,2,5,.286,30.9,22.3,8.86,3.68,,,17,
Pitt,3,8,.273,2,5,.286,20.3,27.1,-2.45,3.55,,,,
Virginia,3,8,.273,2,5,.286,23.8,31.8,-2.18,5.01,,,,
Syracuse,5,6,.455,1,6,.143,24.6,23.1,-0.41,0.86,,,,
Wake Forest,4,7,.364,1,6,.143,19.3,26.5,-2.79,2.94,,,,
