,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Tulane,12,2,.857,7,1,.875,36.0,22.2,11.53,0.39,,9,9,
Cincinnati,9,4,.692,6,2,.750,29.2,20.6,5.85,-1.00,23,20,,
UCF,9,5,.643,6,2,.750,32.9,23.6,5.74,0.74,,17,,
Houston,8,5,.615,5,3,.625,36.1,32.2,3.80,0.80,24,24,,
SMU,7,6,.538,5,3,.625,37.2,33.8,3.69,1.39,,,,
East Carolina,8,5,.615,4,4,.500,32.5,27.2,4.41,-0.82,,,,
Navy,4,8,.333,4,4,.500,21.9,24.3,-2.56,0.94,,,,
Memphis,7,6,.538,3,5,.375,35.3,26.0,4.14,-1.17,,,,
Tulsa,5,7,.417,3,5,.375,30.6,33.1,-4.42,-1.59,,,,
Temple,3,9,.250,1,7,.125,21.9,29.3,-7.72,-2.39,,,,
South Florida,1,11,.083,0,8,.000,28.0,41.2,-10.11,1.97,,,,
