,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Texas Christian,13,2,.867,9,0,1.000,38.8,29.0,16.65,7.45,,2,2,
Kansas State,10,4,.714,7,2,.778,32.3,21.9,16.16,7.95,,11,14,
Texas,8,5,.615,6,3,.667,34.5,21.6,15.92,8.16,,18,25,
Texas Tech,8,5,.615,5,4,.556,34.2,29.2,9.68,6.45,,,,
Oklahoma State,7,6,.538,4,5,.444,30.6,28.9,5.16,4.47,12,7,,
Baylor,6,7,.462,4,5,.444,32.2,26.8,6.19,4.96,10,9,,
Kansas,6,7,.462,3,6,.333,35.6,35.5,6.27,6.58,,19,,
Oklahoma,6,7,.462,3,6,.333,32.8,30.0,8.52,6.37,9,6,,
West Virginia,5,7,.417,3,6,.333,30.6,32.9,2.90,6.06,,,,
Iowa State,4,8,.333,1,8,.111,20.2,20.3,5.71,6.37,,,,
