,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Western Kentucky,9,5,.643,6,2,.750,36.4,23.4,1.01,-5.49,,,,
Middle Tennessee State,8,5,.615,4,4,.500,28.8,27.7,-5.82,-6.97,,,,
Florida Atlantic,5,7,.417,4,4,.500,29.8,26.6,-6.44,-5.86,,,,
Florida International,4,8,.333,2,6,.250,18.7,37.3,-17.44,-7.44,,,,
Charlotte,3,9,.250,2,6,.250,24.4,39.4,-16.23,-5.81,,,,
UTSA,11,3,.786,8,0,1.000,36.8,25.9,5.36,-3.78,,22,,
North Texas,7,7,.500,6,2,.750,33.8,31.7,-2.71,-4.21,,,,
UAB,7,6,.538,4,4,.500,30.1,23.2,-0.98,-5.13,,,,
UTEP,5,7,.417,3,5,.375,24.4,27.0,-9.15,-6.48,,,,
Rice,5,8,.385,3,5,.375,25.2,34.2,-9.45,-3.75,,,,
Louisiana Tech,3,9,.250,2,6,.250,29.0,37.9,-12.66,-4.50,,,,
