,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Mountain,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
Boise State,10,4,.714,8,0,1.000,29.5,19.5,3.54,-4.82,,,,
Air Force,10,3,.769,5,3,.625,27.8,13.4,4.13,-7.41,,,,
Wyoming,7,6,.538,5,3,.625,21.2,23.9,-5.59,-4.43,,,,
Utah State,6,7,.462,5,3,.625,22.2,31.2,-9.52,-4.06,,,,
Colorado State,3,9,.250,3,5,.375,13.2,26.9,-14.63,-4.80,,,,
New Mexico,2,10,.167,0,8,.000,13.1,26.0,-16.09,-4.26,,,,
Fresno State,10,4,.714,7,1,.875,30.6,19.4,4.48,-3.94,,24,24,
San Jose State,7,5,.583,5,3,.625,27.4,22.0,-3.92,-8.26,,,,
San Diego State,7,6,.538,5,3,.625,21.5,20.5,-3.36,-4.36,,,,
Nevada-Las Vegas,5,7,.417,3,5,.375,26.3,28.5,-7.40,-5.48,,,,
Hawaii,3,10,.231,2,6,.250,19.8,34.7,-14.31,-4.77,,,,
Nevada,2,10,.167,0,8,.000,18.8,30.9,-15.62,-5.04,,,,
