,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
School,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Washington,11,0,1.000,8,0,1.000,39.3,23.2,18.09,4.36,4,10,4,
Oregon,10,1,.909,7,1,.875,46.5,16.7,18.39,0.93,6,15,6,
Arizona,8,3,.727,6,2,.750,32.1,20.6,12.35,2.35,16,,16,
Oregon State,8,3,.727,5,3,.625,36.3,20.6,12.28,2.00,15,18,10,
USC,7,5,.583,5,4,.556,41.8,34.9,8.47,5.22,,6,5,
UCLA,7,4,.636,4,4,.500,27.5,16.7,8.22,1.13,,,18,
Utah,7,4,.636,4,4,.500,24.6,20.0,7.98,4.98,,14,10,
California,5,6,.455,3,5,.375,31.5,35.0,0.98,3.71,,,,
Washington State,5,6,.455,2,6,.250,32.6,28.5,4.05,2.51,,,13,
Arizona State,3,8,.273,2,6,.250,17.3,29.4,-3.26,5.11,,,,
Stanford,3,8,.273,2,7,.222,20.4,36.0,-4.50,4.96,,,,
Colorado,4,7,.364,1,7,.125,29.2,35.9,1.53,5.53,,,18,
