,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
East,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
Georgia,11,0,1.000,8,0,1.000,40.4,15.1,19.33,0.24,1,1,1,
Missouri,9,2,.818,5,2,.714,32.8,23.1,14.13,3.86,10,,10,
Tennessee,7,4,.636,3,4,.429,30.0,21.8,8.38,3.92,25,12,9,
Kentucky,6,5,.545,3,5,.375,27.7,24.3,4.02,0.66,,,20,
Florida,5,6,.455,3,5,.375,29.6,27.9,2.75,3.02,,,22,
South Carolina,5,6,.455,3,5,.375,27.7,27.3,2.57,3.93,,,,
Vanderbilt,2,9,.182,0,7,.000,22.7,35.1,-8.81,3.10,,,,
Alabama,10,1,.909,7,0,1.000,36.5,17.4,17.70,3.61,8,4,3,
Ole Miss,9,2,.818,5,2,.714,36.5,23.7,12.86,3.50,12,22,10,
LSU,8,3,.727,5,2,.714,46.8,27.5,14.32,4.14,14,5,5,
Texas A&M,7,4,.636,4,3,.571,34.5,19.5,10.83,1.56,,23,23,
Auburn,6,5,.545,3,4,.429,27.5,21.5,5.04,2.04,,,,
Mississippi State,5,6,.455,1,6,.143,23.2,27.5,-0.79,2.94,,,,
Arkansas,4,7,.364,1,6,.143,27.7,26.1,1.13,0.59,,,,
